"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","149/3687","434/18860",0.34331797235023,1.75616407879722,7.85607361003494,1.78237348630517e-13,1.10346742537153e-09,9.65295956530537e-10,"ABRAXAS1/ACTB/AKAP8/ANAPC1/ANAPC11/ANAPC2/ANAPC7/ANKRD31/APC/ARHGEF10/ARID1B/ATM/AURKA/BAG6/BCCIP/BCL7A/BCL7B/BUB3/CCDC86/CCNB1/CCNE2/CDC42/CDC6/CDK1/CDT1/CENATAC/CENPF/CENPN/CENPO/CENPT/CENPU/CEP192/CEP63/CEP85/CHFR/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CLASP1/CSNK2A2/DDX3X/DPF2/DSN1/DYNC1H1/EHMT2/EML4/ERCC2/FBXO5/FLNA/GEN1/GPSM2/GTF2B/HASPIN/HAUS3/HAUS6/HECW2/HNRNPU/HORMAD1/KASH5/KIF11/KIF2A/KLHL22/KNL1/M1AP/MAD1L1/MAD2L1/MAEL/MAJIN/MAPRE2/MAPRE3/MCMDC2/MIS12/MIS18A/MLH1/MLH3/MMS19/MND1/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NDEL1/NEK6/NSMCE2/NTMT1/NUMA1/NUP62/PLSCR1/PPP2R2D/PRDM9/PUM2/RAB24/RAD18/RAD21/RAN/RCC1/RCC2/RECQL5/RHOA/RIOK2/RMDN1/RNF212/RNF4/SEH1L/SIRT7/SKA1/SKA3/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SMC5/SMC6/SPATA22/SPC24/SPDL1/SPICE1/SPO11/SRPK1/STAG1/STAG2/STAG3/SYCE1/SYCE2/SYCP2/TENT4A/TEX15/TLK1/TOP1/TUBB/TUBB8/TUBG1/TUBG2/TUBGCP3/TUBGCP4/UBE2I/UHRF1/VPS4B/WAPL/WASHC5/ZCWPW1/ZWINT",149
"GO:0044772","mitotic cell cycle phase transition","150/3687","461/18860",0.325379609544469,1.66440451207179,7.11944429479152,1.65244611462559e-11,5.1151469478235e-08,4.47465013670981e-08,"ABRAXAS1/ACTB/ACVR1B/AKT1/ANAPC1/ANAPC11/ANAPC2/ANAPC7/ANLN/APC/APPL2/ARID1B/ATM/AURKA/BABAM2/BCL7A/BCL7B/BID/BRD4/BRSK1/BUB3/CACNB4/CACUL1/CALM3/CCNB1/CCND1/CCND3/CCNE2/CCNF/CCNH/CCNI/CCNJL/CCNP/CDC14A/CDC14B/CDC25B/CDC25C/CDC34/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN2A/CDKN2C/CENPF/CHFR/CHMP2A/CHMP7/CKS2/CLASP1/CPSF3/CUL2/DACT1/DDX3X/DNM2/DPF2/DTL/E2F7/EIF4EBP1/EPS8/ERCC2/EZH2/FBXL15/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/GSPT1/HASPIN/HECW2/ID2/INHBA/INTS3/KANK2/KCNH5/KDM8/KHDRBS1/KLF4/KLHL22/KNL1/MAD1L1/MAD2L1/MARK3/MEPCE/MRNIP/MYB/NABP2/NAE1/NEK6/NEUROG1/NFIB/NSMCE2/PABIR1/PIAS1/PKD1/PKD2/PKMYT1/PLK3/PLRG1/POLE/PPM1D/PPME1/PPP2CA/PPP2R2D/PPP6C/PRKDC/PRMT2/RAD21/RBBP8/RBL2/RBX1/RCC1/RCC2/RIOK2/SENP2/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SMC5/SPAST/SPC24/SPDL1/TAOK1/TAOK2/TFDP1/TMEM14B/TMOD3/TPRA1/TRIAP1/TRIM39/UBE2E2/UBE2S/UIMC1/USP37/USP38/VPS4B/WAC/WNT10B/ZFP36L1/ZFYVE19/ZWINT",150
"GO:0000280","nuclear division","147/3687","453/18860",0.324503311258278,1.65992200985384,7.0082627899976,3.29449454827191e-11,6.21339860055391e-08,5.43538341732904e-08,"ABRAXAS1/AKAP8/ANAPC11/ANAPC7/ANKRD31/ANLN/APC/ARHGEF10/ASZ1/ATM/AURKA/BAG6/BCCIP/BMP7/BRME1/BROX/BUB3/CCDC86/CCNB1/CCNE2/CDC14A/CDC14B/CDC25B/CDC25C/CDC42/CDK1/CDT1/CENPF/CEP192/CEP85/CHFR/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CKS2/CLASP1/DAPK3/DMRT1/EDN1/EHMT2/EML4/EPS8/ERCC4/FANCA/FBXO5/FBXW5/FIGNL1/FLNA/FZR1/GEN1/HASPIN/HNRNPU/HORMAD1/HSF1/HSF2BP/IGF2/ING2/KASH5/KCTD19/KIF11/KIF2A/KLHL22/KNL1/L3MBTL1/M1AP/MAD1L1/MAD2L1/MAEL/MAJIN/MCMDC2/MEI1/MEIOSIN/MIS12/MLH1/MLH3/MND1/MOV10L1/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NDEL1/NEUROG1/NFIB/NSMCE2/NUMA1/NUP62/PKMYT1/PPP2R2D/PRDM9/PSMA8/RAB24/RAD21/RAD51AP1/RAD54B/RAN/RANBP1/RCC1/REEP3/RHOA/RMDN1/RMI1/RNF212/RPL10L/SEH1L/SIRT7/SKA1/SKA3/SLC25A31/SLX4/SMARCA5/SMC4/SPAST/SPATA22/SPC24/SPDL1/SPICE1/SPIRE2/SPO11/STAG1/STAG2/STAG3/SYCE1/SYCE2/SYCP2/TENT4A/TEX15/TOP6BL/TUBB8/TUBG1/TUBG2/UBB/UBE2I/UBE2S/UHRF1/VPS4B/WAPL/WASHC5/WNT4/ZCWPW1/ZNF541/ZWINT",147
"GO:0098813","nuclear chromosome segregation","113/3687","323/18860",0.34984520123839,1.78955261604449,7.05541855955906,4.01447171736644e-11,6.21339860055391e-08,5.43538341732904e-08,"ABRAXAS1/ACTB/AKAP8/ANAPC1/ANAPC11/ANAPC2/ANAPC7/ANKRD31/APC/ARHGEF10/ARID1B/ATM/AURKA/BAG6/BCCIP/BCL7A/BCL7B/BUB3/CCNB1/CCNE2/CDC42/CDC6/CDK1/CDT1/CENPF/CEP192/CHFR/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CLASP1/DPF2/DSN1/DYNC1H1/EHMT2/EML4/FBXO5/FLNA/GEN1/HASPIN/HECW2/HNRNPU/HORMAD1/KASH5/KIF11/KIF2A/KLHL22/KNL1/M1AP/MAD1L1/MAD2L1/MAEL/MAJIN/MCMDC2/MIS12/MLH1/MLH3/MND1/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NEK6/NSMCE2/NUMA1/NUP62/PRDM9/RAB24/RAD21/RAN/RCC1/RCC2/RHOA/RIOK2/RMDN1/RNF212/SEH1L/SIRT7/SKA1/SKA3/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SPATA22/SPC24/SPDL1/SPICE1/SPO11/STAG1/STAG2/STAG3/SYCE1/SYCE2/SYCP2/TENT4A/TEX15/TUBB8/TUBG1/TUBG2/UHRF1/VPS4B/WAPL/WASHC5/ZCWPW1/ZWINT",113
"GO:0006302","double-strand break repair","115/3687","334/18860",0.344311377245509,1.76124561292387,6.91938309979588,8.41056155993945e-11,1.0413957323517e-07,9.10996615281862e-08,"ABL1/ABRAXAS1/ACTB/ACTR8/AP5S1/APLF/ARID1B/ATM/BABAM2/BCL7A/BCL7B/BRME1/C1QBP/CDC45/CDC7/CHD4/CSNK2A2/DDX11/DEK/DNA2/DPF2/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HMGA2/HSF1/HSF2BP/HTATSF1/INTS3/KASH5/KDM2A/KMT5C/LIG3/LIG4/MAGEF1/MAJIN/MBTD1/MCM2/MCM3/MCM4/MCM6/MCMDC2/MEAF6/MLH1/MMS22L/MORF4L1/MORF4L2/MRGBP/MRNIP/NABP2/NHEJ1/NSMCE2/NSMCE3/NSMCE4A/OGG1/PALB2/PARP1/PARP2/PARP3/PIAS1/PIAS4/PML/POLA1/POLN/PPP4R2/PPP5C/PRDM9/PRKDC/RAD21/RAD51AP1/RAD54B/RBBP8/RECQL4/RECQL5/REV3L/RMI1/RNF126/RPA1/RTEL1/SAMHD1/SENP3/SETMAR/SFR1/SHLD2/SIRT6/SLX4/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SMC5/SMC6/SMCHD1/SPIRE2/SPO11/TDP1/TDP2/TENT4A/TEX15/TWIST1/UHRF1/UIMC1/XRCC1/XRCC2/YEATS4/YY1/ZCWPW1/ZGRF1",115
"GO:0007098","centrosome cycle","62/3687","150/18860",0.413333333333333,2.11431154506826,6.75422518822214,6.70590362547668e-10,6.91937489088768e-07,6.05296037773289e-07,"ARHGEF10/ATF5/AURKA/BNIP2/BRSK1/C2CD3/CCDC102B/CCNF/CDK1/CDK11A/CDK11B/CENATAC/CEP120/CEP192/CEP250/CEP295/CEP44/CEP63/CEP72/CEP85/CHD3/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/CNTLN/CNTROB/DCTN1/DEUP1/DNM2/FBXW5/GADD45A/GEN1/HAUS3/HAUS6/KIF11/KIF3A/MDM1/NAT10/NDEL1/NPM1/NUBP1/NUP62/PARD6B/PARD6G/PDCD6IP/PDE4DIP/PKD2/PLK4/POC1A/PPP1R12A/RANBP1/RBM14/SDCCAG8/SLC16A1/SPICE1/SSX2IP/TRIM37/VPS4B/XRCC2",62
"GO:0031023","microtubule organizing center organization","64/3687","163/18860",0.392638036809816,2.0084495183708,6.37414841358433,4.26401460653704e-09,3.77121634701011e-06,3.29900077453129e-06,"ARHGEF10/ATF5/AURKA/BNIP2/BRSK1/C2CD3/CCDC102B/CCNF/CDK1/CDK11A/CDK11B/CENATAC/CEP120/CEP192/CEP250/CEP295/CEP44/CEP63/CEP72/CEP85/CHD3/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/CLASP1/CNTLN/CNTROB/DCTN1/DEUP1/DNM2/FBXW5/GADD45A/GEN1/HAUS3/HAUS6/KIF11/KIF3A/MDM1/NAT10/NDEL1/NPM1/NUBP1/NUP62/PAFAH1B1/PARD6B/PARD6G/PDCD6IP/PDE4DIP/PKD2/PLK4/POC1A/PPP1R12A/RANBP1/RBM14/SDCCAG8/SLC16A1/SPICE1/SSX2IP/TRIM37/VPS4B/XRCC2",64
"GO:0045814","negative regulation of gene expression, epigenetic","73/3687","197/18860",0.370558375634518,1.895506092885,6.22832261753175,7.00928565315324e-09,5.42431093483396e-06,4.74510193229913e-06,"BAP1/BEND3/CBX1/CBX5/CDKN2B-AS1/CDYL/CTR9/DNMT1/DYRK1A/EED/EHMT1/EHMT2/EPC1/EZH1/EZH2/H1-2/H2AC11/H2AC12/H2AC13/H2AC15/H2AC17/H2AC18/H2AC19/H2AC20/H2AC25/H2AC6/H2AC8/H2AX/HDAC4/HDAC5/HEMK2/HMGA2/HNRNPK/HNRNPU/ING2/JARID2/L3MBTL1/LHX2/MAEL/MBD1/MBD3/MCRIP1/MECP2/MIS18A/MORC1/MORC2/MOV10L1/PARTICL/PCGF3/PCGF5/PCID2/PPHLN1/PPM1D/SIRT6/SIRT7/SMARCA4/SMARCA5/SMCHD1/SPEN/SPIN1/SPTY2D1/SUV39H1/SUV39H2/TASOR2/TDRD5/TEX15/TRIM28/TRIM37/UHRF1/UHRF2/YTHDC1/ZNF445/ZNFX1",73
"GO:0008380","RNA splicing","147/3687","490/18860",0.3,1.53458096013019,5.91040333319571,1.36768518426887e-08,9.40815441756506e-06,8.2301055825302e-06,"AKAP17A/ALYREF/ARMC7/ATXN7L3/C1QBP/CDC5L/CDK11A/CDK11B/CELF4/CENATAC/CIRBP/CLASRP/CLK1/COIL/CRIPT/DAZAP1/DCPS/DDX39A/DDX39B/DDX42/DHX15/DHX38/DHX8/DHX9/DYRK1A/ESS2/FAM98A/FMR1/FUS/GEMIN2/GEMIN4/GPATCH8/HNRNPA1/HNRNPA3/HNRNPF/HNRNPH1/HNRNPH2/HNRNPH3/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HNRNPUL2/HTATSF1/ILF3/IWS1/KHDRBS1/KHDRBS3/KHSRP/LARP7/LSM1/LSM2/LSM4/LSM7/LSM8/LUC7L/LUC7L2/MBNL1/MPHOSPH10/NCL/NOVA1/NPM1/PABPC1/PAXBP1/PLRG1/PPP4R2/PRPF40A/PRPF6/PTBP1/PTBP2/PTBP3/QKI/RBFOX1/RBM10/RBM12/RBM12B/RBM14/RBM17/RBM19/RBM23/RBM42/RBMX2/RNPS1/RNU6ATAC/RRP1B/RSRP1/RTCB/SAP18/SART1/SCAF1/SCAF11/SF1/SF3A2/SF3B1/SGF29/SNRNP25/SNRNP70/SNRPD2/SNRPN/SNW1/SREK1/SRPK1/SRPK2/SRRM2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF5/SRSF6/SRSF9/STRAP/SUGP2/SUPT3H/SUPT7L/SYNCRIP/TADA2B/TAF12/TAF12-DT/TAF5L/THOC3/THOC6/TIA1/TMBIM6/TRA2A/TSEN15/TSEN2/TSEN34/TSEN54/TSSC4/TXNL4A/TXNL4B/U2AF1L4/U2AF2/UBL5/UPF1/USP39/WTAP/YBX1/YJU2B/YTHDC1/ZC3H14/ZMAT2/ZMAT5/ZNF638/ZRSR2",147
"GO:0000725","recombinational repair","73/3687","201/18860",0.36318407960199,1.85778457859873,6.02687592359627,1.87251855093842e-08,1.11890689818446e-05,9.78802164629312e-06,"ABL1/ACTB/AP5S1/ATM/C1QBP/CDC45/CDC7/CHD4/CTBP1-DT/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HTATSF1/INTS3/KASH5/LIG3/MAGEF1/MBTD1/MCM2/MCM3/MCM4/MCM6/MCMDC2/MEAF6/MMS22L/MORF4L1/MORF4L2/MRGBP/MRNIP/NABP2/NSMCE2/NSMCE3/NSMCE4A/PALB2/PARP1/PIAS1/PIAS4/POLN/PPP4R2/PRKDC/RAD21/RAD51AP1/RAD54B/RBBP8/RECQL4/RECQL5/REV3L/RMI1/RNF126/RPA1/RTEL1/SAMHD1/SENP3/SFR1/SHLD2/SIRT6/SLX4/SMC5/SMC6/SMCHD1/TEX15/UHRF1/XRCC2/YEATS4/YY1/ZGRF1",73
"GO:0051052","regulation of DNA metabolic process","148/3687","497/18860",0.297786720321932,1.5232594372855,5.82751791408004,2.07181119782065e-08,1.11890689818446e-05,9.78802164629312e-06,"ABL1/ABRAXAS1/ACD/ACTB/ACTR8/ADIPOQ/AKT1/ANKRD31/APLF/ARID1B/ATM/ATXN7L3/BABAM2/BCL7A/BCL7B/C1QBP/CAMSAP3/CCT3/CCT5/CDC6/CDC7/CDK1/CDT1/CHRAC1/CHTF18/CHTF8/DDX11/DEK/DFFB/DHX9/DKC1/DNA2/DPF2/DYNLL1/E2F7/EHMT2/ENDOG/EPC1/EPC2/ERCC2/ERCC4/ERCC6/ESCO1/FBXO5/FIGNL1/FUS/GMNN/H1-2/H2AX/HMGA2/HNRNPA1/HNRNPU/HSF1/HSP90AA1/ING5/INO80C/INO80E/KAT7/KCTD13/KLF4/KMT5C/LIG3/MAGEF1/MAP2K7/MBTD1/MCM2/MCM3/MCM4/MCM6/MEAF6/MLH1/MORF4L1/MORF4L2/MRGBP/MRNIP/NABP2/NAT10/NSMCE2/NSMCE3/NSMCE4A/OGG1/PARN/PARP1/PARP3/PAXIP1/PCNA/PIAS4/PKIB/PML/PMS2/POLG2/POLH/PPP1R10/PPP4R2/PRDM9/PRKDC/PTGES3/RAD51AP1/RECQL5/RFC3/RNF126/RTEL1/SENP2/SENP3/SETMAR/SGF29/SHLD2/SIRT6/SIRT7/SLX4/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC5/SMC6/SMCHD1/SMG6/SPIRE2/SUPT3H/SUPT7L/SUV39H1/TADA2B/TAF12/TAF4/TAF5L/TAF6/TAF7/TEX15/TFDP1/TFRC/TIGAR/TNKS2/TRIM28/TWIST1/UBE2V1/UIMC1/UPF1/USP1/USP37/WAPL/WRNIP1/XRCC1/YEATS4/YLPM1/YY1/ZCWPW1",148
"GO:0007051","spindle organization","75/3687","209/18860",0.358851674641148,1.83562315805046,5.98815067291506,2.16877447556349e-08,1.11890689818446e-05,9.78802164629312e-06,"ABRAXAS1/AFG2B/ARHGEF10/AURKA/BCCIP/CCNB1/CEP120/CEP192/CEP63/CEP72/CHD3/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CLASP1/DCTN1/DYNC1H1/EFHC1/EML1/FAM110A/FBXO5/FLNA/FSD1/GNAI1/GPSM2/GTF2B/HAUS3/HAUS6/HNRNPU/INTS13/KASH5/KIF11/KIF2A/MAPRE2/MAPRE3/MLH1/MYBL2/NEK6/NTMT1/NUMA1/NUP62/PARP3/PCNT/PDE4DIP/PKD1/PLK3/POC1A/PTPA/RAE1/RAN/RCC1/RHOA/RMDN1/RNF4/SKA1/SKA3/SPAST/SPICE1/STAG1/STAG2/TACC1/TPPP/TUBB/TUBB8/TUBG1/TUBG2/TUBGCP3/TUBGCP4/UHRF1/VPS4B/WASHC5",75
"GO:0000724","double-strand break repair via homologous recombination","71/3687","195/18860",0.364102564102564,1.86248287468792,5.96779586571578,2.58956298611524e-08,1.18431310249936e-05,1.03601848393835e-05,"ABL1/ACTB/AP5S1/ATM/C1QBP/CDC45/CDC7/CHD4/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HTATSF1/INTS3/KASH5/LIG3/MAGEF1/MBTD1/MCM2/MCM3/MCM4/MCM6/MCMDC2/MEAF6/MMS22L/MORF4L1/MORF4L2/MRGBP/MRNIP/NABP2/NSMCE2/NSMCE3/NSMCE4A/PALB2/PARP1/PIAS1/PIAS4/POLN/PPP4R2/PRKDC/RAD21/RAD51AP1/RAD54B/RBBP8/RECQL4/RECQL5/REV3L/RMI1/RNF126/RPA1/RTEL1/SAMHD1/SENP3/SFR1/SHLD2/SIRT6/SLX4/SMC5/SMC6/SMCHD1/TEX15/UHRF1/XRCC2/YEATS4/YY1",71
"GO:0033044","regulation of chromosome organization","84/3687","244/18860",0.344262295081967,1.76099454441169,5.89784617776675,2.86212521623432e-08,1.18431310249936e-05,1.03601848393835e-05,"ACD/ACTB/ACTR8/ANAPC1/ANAPC11/ANAPC2/ANAPC7/APC/ARID1B/ATM/BCL7A/BCL7B/BUB3/CCNB1/CCT3/CCT5/CDC6/CDK1/CENPF/CHFR/DDX11/DKC1/DPF2/ERCC4/FBXO5/GEN1/HASPIN/HECW2/HNRNPA1/HNRNPU/HSP90AA1/INO80C/INO80E/KLF4/KLHL22/KNL1/LIG4/MAD1L1/MAD2L1/MAP2K7/MAPT/NABP2/NAT10/NCAPD3/NCAPH/NEK6/NSMCE2/NSMCE3/NSMCE4A/NUMA1/PARN/PARP1/PARP3/PKIB/PML/PPP1R10/PTGES3/RAD21/RIOK2/RNF4/RTEL1/SETMAR/SIRT6/SKA1/SKA3/SLX4/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SMC5/SMC6/SMG6/SPC24/SPDL1/TNKS2/UPF1/WAPL/XRCC1/YLPM1/YY1/ZWINT",84
"GO:1901990","regulation of mitotic cell cycle phase transition","113/3687","357/18860",0.316526610644258,1.61911903356406,5.82166699189134,2.86943894968346e-08,1.18431310249936e-05,1.03601848393835e-05,"ABRAXAS1/ACTB/AKT1/ANAPC11/ANAPC7/ANLN/APC/APPL2/ARID1B/ATM/AURKA/BABAM2/BCL7A/BCL7B/BID/BRD4/BRSK1/BUB3/CACNB4/CCNB1/CCND1/CCND3/CCNE2/CCNH/CDC14A/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN2A/CDKN2C/CENPF/CHFR/CPSF3/DACT1/DDX3X/DPF2/DTL/E2F7/ERCC2/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/HASPIN/HECW2/ID2/INHBA/INTS3/KANK2/KCNH5/KLF4/KLHL22/KNL1/MAD1L1/MAD2L1/MARK3/MEPCE/MRNIP/NABP2/NAE1/NEK6/NEUROG1/NSMCE2/PABIR1/PKD1/PKD2/PKMYT1/PLK3/PLRG1/PPP2CA/PRKDC/PRMT2/RAD21/RBBP8/RBL2/RCC2/RIOK2/SENP2/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPC24/SPDL1/TAOK1/TAOK2/TFDP1/TMEM14B/TMOD3/TPRA1/TRIAP1/TRIM39/UBE2E2/UIMC1/VPS4B/WAC/WNT10B/ZFP36L1/ZFYVE19/ZWINT",113
"GO:0050684","regulation of mRNA processing","55/3687","139/18860",0.39568345323741,2.02402764525564,5.97330554046974,3.73243303491485e-08,1.44421830744736e-05,1.26337947135769e-05,"ALKBH5/C1QBP/CCNB1/CDC73/CDK11A/CDK11B/CELF4/CIRBP/DAZAP1/DHX9/DYRK1A/FMR1/HDAC7/HNRNPA1/HNRNPK/HNRNPL/HNRNPU/IWS1/KHDRBS1/KHDRBS3/LARP7/NCL/NOVA1/NPM1/PTBP1/QKI/RBFOX1/RBM10/RBM14/RBM19/RBM23/RBM42/RNPS1/SAFB/SAFB2/SAP18/SLTM/SNRNP70/SNW1/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF5/SRSF6/SRSF9/TIA1/TRA2A/U2AF2/UPF1/WTAP/YTHDC1/ZFP36L1",55
"GO:0040029","epigenetic regulation of gene expression","99/3687","305/18860",0.324590163934426,1.66036628473102,5.7314499272835,5.19432687759171e-08,1.89165162936296e-05,1.6547871074433e-05,"ALKBH4/ARID1B/ARID4A/ATAD2/BAP1/BEND3/CBX1/CBX5/CDKN2B-AS1/CDYL/CTCFL/CTR9/DNMT1/DPY30/DYRK1A/EED/EGR1/EHMT1/EHMT2/EPC1/EZH1/EZH2/GLMN/H1-2/H2AC11/H2AC12/H2AC13/H2AC15/H2AC17/H2AC18/H2AC19/H2AC20/H2AC25/H2AC6/H2AC8/H2AX/H3C12/HDAC4/HDAC5/HDAC7/HEMK2/HMGA2/HNRNPK/HNRNPU/IGF2/ING2/JARID2/KAT7/L3MBTL1/L3MBTL3/LHX2/MAEL/MBD1/MBD3/MCRIP1/MECP2/MIS18A/MORC1/MORC2/MOV10L1/MYCN/NDN/OGG1/PARTICL/PCGF3/PCGF5/PCID2/PPHLN1/PPM1D/PRMT3/RBM14/SGF29/SIRT6/SIRT7/SMARCA4/SMARCA5/SMARCB1/SMCHD1/SPEN/SPIN1/SPTY2D1/STPG4/SUV39H1/SUV39H2/TASOR2/TDRD5/TEX15/TRIM28/TRIM37/TRMT112/UHRF1/UHRF2/USP21/WDR5/YTHDC1/ZCWPW1/ZNF445/ZNFX1/ZNHIT1",99
"GO:1901987","regulation of cell cycle phase transition","139/3687","468/18860",0.297008547008547,1.51927887078416,5.60749983231643,6.60218790806537e-08,2.27078585215737e-05,1.98644776532142e-05,"ABRAXAS1/ACTB/AKT1/ANAPC11/ANAPC7/ANLN/APBB2/APC/APPL2/ARID1B/ATF5/ATM/AURKA/BABAM2/BCL7A/BCL7B/BID/BRD4/BRSK1/BUB3/CACNB4/CAMSAP3/CCNB1/CCND1/CCND3/CCNE2/CCNH/CCNQ/CDC14A/CDC14B/CDC25B/CDC25C/CDC45/CDC5L/CDC6/CDC7/CDC73/CDK1/CDK10/CDK16/CDK17/CDK2AP2/CDKN2A/CDKN2C/CDT1/CENPF/CEP63/CHFR/CLOCK/CPSF3/CRY1/DACT1/DDX3X/DNA2/DPF2/DTL/E2F7/ERCC2/ERCC6/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/GNB1L/H2AX/HASPIN/HECW2/HORMAD1/ID2/INHBA/INTS3/INTS7/KANK2/KCNH5/KLF4/KLHL22/KNL1/MAD1L1/MAD2L1/MARK3/MEPCE/MRNIP/NABP2/NAE1/NEK6/NEUROG1/NPM1/NSMCE2/NSUN2/PABIR1/PAXIP1/PKD1/PKD2/PKMYT1/PLK3/PLRG1/PPP1R10/PPP2CA/PRKDC/PRMT2/RAD21/RAD9A/RASSF1/RBBP8/RBL2/RCC2/RIOK2/SENP2/SETMAR/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPC24/SPDL1/TAOK1/TAOK2/TELO2/TFDP1/TMEM14B/TMOD3/TPRA1/TRIAP1/TRIM39/UBE2E2/UIMC1/VPS4B/WAC/WNT10B/ZFP36L1/ZFYVE19/ZWINT",139
"GO:0022613","ribonucleoprotein complex biogenesis","145/3687","496/18860",0.292338709677419,1.49539139259998,5.51144937789147,1.01279748875592e-07,3.30012065941469e-05,2.88689367293585e-05,"AATF/ADAR/AFG2B/AGO1/AGO2/ATM/BOP1/BYSL/C1QBP/CDKN2A/CELF4/CHD7/COIL/DDX10/DDX39B/DDX3X/DDX42/DDX51/DDX52/DHX37/DHX9/DICER1/DKC1/EIF2A/EIF2D/EIF2S2/EIF2S3/EIF3A/EIF3B/EIF3K/EIF4H/EIF5B/ERCC2/ESF1/EXOSC1/EXOSC2/EXOSC5/EXOSC8/FASTKD2/FBL/FSAF1/FTSJ3/GEMIN2/GEMIN4/GLUL/GTF2H5/GTF3A/HEATR1/HEATR3/HSP90AA1/HTATSF1/KRI1/LSM2/LSM4/LTO1/LUC7L/LUC7L2/LYAR/MAK16/MCTS2/MPHOSPH10/MPHOSPH6/MTERF4/MTG1/MYBBP1A/MYG1/NAT10/NOA1/NOB1/NOL7/NOLC1/NOP56/NPM1/PAK1IP1/POP4/POP7/PPAN/PRKDC/PRPF6/PTBP2/PTGES3/PWP1/PWP2/RAN/RBFA/RBM10/RBMX2/RIOK2/RNU6ATAC/RPL10L/RPL13A/RPL26L1/RPL5/RPLP0/RPP38/RPP40/RPS15/RPS16/RPS23/RPS5/RPS9/RPSA2/RPUSD1/RRP1/RRP1B/RRP7A/RRP7BP/RRP9/RSRP1/SART1/SCAF11/SF1/SF3A2/SF3B1/SIRT7/SNRPD2/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF5/SRSF6/SRSF9/STRAP/SUV39H1/TAF12-DT/TFB1M/TRMT112/TSR3/TSSC4/TXNL4A/U2AF2/URB2/USP36/USP39/UTP18/UTP20/UTP4/WDR12/WDR18/WDR43/YTHDC1/YTHDF2/ZRSR2",145
"GO:0006354","DNA-templated transcription elongation","55/3687","143/18860",0.384615384615385,1.96741148734639,5.72428579756391,1.15809354675106e-07,3.58487857396791e-05,3.13599542001801e-05,"ARMC5/BRD4/CCNK/CCNT2/CDC73/CTR9/EAPP/ELOB/ELOF1/ERCC2/ERCC6/EZH2/GTF2F1/GTF2F2/GTF2H5/HMGN1/HNRNPU/INTS11/INTS13/INTS2/INTS3/INTS5/INTS7/IWS1/KAT7/LARP7/LDB1/MED11/MED15/MED18/MED20/MED25/MED26/MED28/MED4/NELFA/NELFB/NELFCD/NELFE/PARP1/PCID2/POLR2E/POLR2I/PPP1R10/PPP2CA/RBX1/RECQL5/RTF1/SETD5/SIRT6/SUPT4H1/SUPT5H/TCEA2/VHL/WDR43",55
